arrow_average,distance,date,golds,arrows,is_comp
9.09,20,"2023-09-05",48,54,0
8.93,20,"2023-09-12",25,30,0
9.03,20,"2023-09-22",51,60,0
9.09,20,"2023-10-13",41,45,0
9.10,20,"2023-10-17",57,60,0
9.10,20,"2023-10-20",53,60,0
9.08,20,"2023-10-24",10,12,0
9.03,20,"2023-10-27",26,30,0
8.83,20,"2023-11-10",5,6,0
9.26,15,"2023-11-21",38,39,0
9.44,15,"2023-11-28",44,45,0
